Date,Ticker,Signal,Change%,Outcome
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-07-01,WIPRO.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-07-01,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-07-01,WIPRO.NS,BUY,nan,Wrong
2025-07-01,WIPRO.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-07-01,TCS.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-07-01,RELIANCE.NS,BUY,nan,Wrong
2025-07-01,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-07-01,WIPRO.NS,BUY,nan,Wrong
2025-07-01,WIPRO.NS,BUY,nan,Wrong
2025-07-01,WIPRO.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-07-01,TCS.NS,BUY,nan,Wrong
2025-07-01,TCS.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-07-01,RELIANCE.NS,BUY,nan,Wrong
2025-07-01,RELIANCE.NS,BUY,nan,Wrong
2025-07-01,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-07-01,WIPRO.NS,BUY,nan,Wrong
2025-07-01,WIPRO.NS,BUY,nan,Wrong
2025-07-01,WIPRO.NS,BUY,nan,Wrong
2025-07-01,WIPRO.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-07-01,TCS.NS,BUY,nan,Wrong
2025-07-01,TCS.NS,BUY,nan,Wrong
2025-07-01,TCS.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-07-01,RELIANCE.NS,BUY,nan,Wrong
2025-07-01,RELIANCE.NS,BUY,nan,Wrong
2025-07-01,RELIANCE.NS,BUY,nan,Wrong
2025-07-01,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-07-01,WIPRO.NS,BUY,nan,Wrong
2025-07-01,WIPRO.NS,BUY,nan,Wrong
2025-07-01,WIPRO.NS,BUY,nan,Wrong
2025-07-01,WIPRO.NS,BUY,nan,Wrong
2025-07-01,WIPRO.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-07-01,TCS.NS,BUY,nan,Wrong
2025-07-01,TCS.NS,BUY,nan,Wrong
2025-07-01,TCS.NS,BUY,nan,Wrong
2025-07-01,TCS.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-07-01,RELIANCE.NS,BUY,nan,Wrong
2025-07-01,RELIANCE.NS,BUY,nan,Wrong
2025-07-01,RELIANCE.NS,BUY,nan,Wrong
2025-07-01,RELIANCE.NS,BUY,nan,Wrong
2025-07-01,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-07-01,WIPRO.NS,BUY,nan,Wrong
2025-07-01,WIPRO.NS,BUY,nan,Wrong
2025-07-01,WIPRO.NS,BUY,nan,Wrong
2025-07-01,WIPRO.NS,BUY,nan,Wrong
2025-07-01,WIPRO.NS,BUY,nan,Wrong
2025-07-01,WIPRO.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-07-01,TCS.NS,BUY,nan,Wrong
2025-07-01,TCS.NS,BUY,nan,Wrong
2025-07-01,TCS.NS,BUY,nan,Wrong
2025-07-01,TCS.NS,BUY,nan,Wrong
2025-07-01,TCS.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,RELIANCE.NS,BUY,nan,Wrong
2025-07-01,RELIANCE.NS,BUY,nan,Wrong
2025-07-01,RELIANCE.NS,BUY,nan,Wrong
2025-07-01,RELIANCE.NS,BUY,nan,Wrong
2025-07-01,RELIANCE.NS,BUY,nan,Wrong
2025-07-01,RELIANCE.NS,BUY,nan,Wrong
2025-07-01,RELIANCE.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-06-30,WIPRO.NS,BUY,nan,Wrong
2025-07-01,WIPRO.NS,BUY,nan,Wrong
2025-07-01,WIPRO.NS,BUY,nan,Wrong
2025-07-01,WIPRO.NS,BUY,nan,Wrong
2025-07-01,WIPRO.NS,BUY,nan,Wrong
2025-07-01,WIPRO.NS,BUY,nan,Wrong
2025-07-01,WIPRO.NS,BUY,nan,Wrong
2025-07-01,WIPRO.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
2025-06-30,TCS.NS,BUY,nan,Wrong
