Ticker,Headline,Sentiment
TCS.NS,"Top Gainers & Losers on June 23: Vedanta, Hindustan Zinc, Infosys, TCS, Bank of Baroda among top losers - Mint",0.15000000000000002
TCS.NS,"Infosys, TCS, HCLTech Among IT Stocks To Watch As Wall Street Tech Selloff Deepens - News18",0.0
TCS.NS,"Stock market today: Why Sensex plunged 893 points; Nifty dropped to 23,824 - Business Today",0.0
RELIANCE.NS,"Reliance Industries Limited. . Mrs Nita Ambani shares the vision and first glimpses of her upcoming global university that will integrate world-class education, research, innovation, entrepreneurship, and infrastructure to create a launchpad for future leaders fro - facebook.com",0.044642857142857144
RELIANCE.NS,Reliance Industries share price to be in focus on Thursday. Here's why - Mint,0.0
RELIANCE.NS,"Reliance Infra Share Price Today, Reliance Infra Stock Price Live NSE/BSE Updates - The Economic Times",0.16818181818181818
RELIANCE.NS,RELIANCE POWER LTD. Share Price Today - Live RPOWER Stock Price for NSE/BSE - Upstox,0.13636363636363635
RELIANCE.NS,"RIL, BEL, Lenskart, Delhivery among Motilal Oswal's top monthly picks - Business Standard",0.25
RELIANCE.NS,RIL promoter group confirms no encumbrance on shares in FY26 - scanx.trade,0.0
RELIANCE.NS,"Dividend, Bonus Issue, Stock Split Record Dates to Mark: Reliance, Infosys, Adani, Tata, Trent, Inox and More - Goodreturns",0.5
RELIANCE.NS,Reliance Industries Backed Multibagger Stock Hits Another Upper Circuit. Check Details - Business Today,0.0
RELIANCE.NS,Colony Bankcorp to acquire First Reliance for $163 million By Investing.com - Investing.com India,0.25
RELIANCE.NS,"FSRL Stock Alert: Halper Sadeh LLC is Investigating Whether First Reliance Bancshares, Inc. is Obtaining a Fair Price for its Shareholders - Business Wire",0.475
WIPRO.NS,"Wipro's ₹15,000 crore buyback opens with 37% premium - MSN",0.0
WIPRO.NS,Axis Capital downgrades Wipro stock rating on acquisition concerns - Investing.com,0.0
WIPRO.NS,Wipro Share Price Today - Live WIPRO Stock Price for NSE/BSE - Upstox,0.13636363636363635
WIPRO.NS,"Wipro completes ₹15,000 crore buyback at ₹250 per share - scanx.trade",0.0
WIPRO.NS,"TCS, Infosys, Wipro, HCL Tech, TechM Crashed: Why IT Stocks Are Falling? Jefferies Downgrades 6 Tech Shares - Goodreturns",0.0
WIPRO.NS,Wipro Enterprise Managed Services from Wipro Ltd - a long-running backbone for corporate IT - Ad-hoc-news.de,0.0
WIPRO.NS,Three IT stocks get downgraded by JPMorgan; Check lowered price targets and top picks - CNBC TV18,0.5
WIPRO.NS,"HCLTech, Wipro Ratings Slashed By JPMorgan, Says AI Boom Not Translating Into IT Growth Yet - NDTV Profit",0.0
WIPRO.NS,"Nifty IT index slips 2%; TCS, Infosys, HCL Tech, LTM, Wipro down up to 3% - Business Standard",-0.07777777777777779
WIPRO.NS,"TCS sparks IT rally! Nifty IT turns green despite Infosys, Wipro drag - Indiablooms",-0.15000000000000002
TCS.NS,TCS Share Price Today - Tata Consultancy Services on NSE/BSE - scanx.trade,0.0
TCS.NS,TCS Share Price Today - Live TCS Stock Price for NSE/BSE - Upstox,0.13636363636363635
TCS.NS,"Bonus & Dividend Stocks To Watch: TCS, Tata Consumer, PAE & More Go Ex-Date Today May 25; Check Full list - Goodreturns",0.425
TCS.NS,Tata Consultancy Services Stock Leads 3 Dividend Picks For Steady Income - simplywall.st,0.16666666666666666
TCS.NS,"Buy, Sell Or Hold: TCS, HDFC Bank, Garden Reach, Bank Of Baroda, Lumax Auto, TD Power — Ask Profit - NDTV Profit",0.0
TCS.NS,"Nifty IT index slips 2%; TCS, Infosys, HCL Tech, LTM, Wipro down up to 3% - Business Standard",-0.07777777777777779
TCS.NS,"TCS sparks IT rally! Nifty IT turns green despite Infosys, Wipro drag - Indiablooms",-0.15000000000000002
TCS.NS,"Top Gainers & Losers on June 23: Vedanta, Hindustan Zinc, Infosys, TCS, Bank of Baroda among top losers - Mint",0.15000000000000002
TCS.NS,"Infosys, TCS, HCLTech Among IT Stocks To Watch As Wall Street Tech Selloff Deepens - News18",0.0
TCS.NS,"Stock market today: Why Sensex plunged 893 points; Nifty dropped to 23,824 - Business Today",0.0
RELIANCE.NS,"Reliance Industries Limited. . Mrs Nita Ambani shares the vision and first glimpses of her upcoming global university that will integrate world-class education, research, innovation, entrepreneurship, and infrastructure to create a launchpad for future leaders fro - facebook.com",0.044642857142857144
RELIANCE.NS,Reliance Industries share price to be in focus on Thursday. Here's why - Mint,0.0
RELIANCE.NS,"Reliance Infra Share Price Today, Reliance Infra Stock Price Live NSE/BSE Updates - The Economic Times",0.16818181818181818
RELIANCE.NS,RELIANCE POWER LTD. Share Price Today - Live RPOWER Stock Price for NSE/BSE - Upstox,0.13636363636363635
RELIANCE.NS,"RIL, BEL, Lenskart, Delhivery among Motilal Oswal's top monthly picks - Business Standard",0.25
RELIANCE.NS,RIL promoter group confirms no encumbrance on shares in FY26 - scanx.trade,0.0
RELIANCE.NS,"Dividend, Bonus Issue, Stock Split Record Dates to Mark: Reliance, Infosys, Adani, Tata, Trent, Inox and More - Goodreturns",0.5
RELIANCE.NS,Reliance Industries Backed Multibagger Stock Hits Another Upper Circuit. Check Details - Business Today,0.0
RELIANCE.NS,Colony Bankcorp to acquire First Reliance for $163 million By Investing.com - Investing.com India,0.25
RELIANCE.NS,"FSRL Stock Alert: Halper Sadeh LLC is Investigating Whether First Reliance Bancshares, Inc. is Obtaining a Fair Price for its Shareholders - Business Wire",0.475
WIPRO.NS,"Wipro's ₹15,000 crore buyback opens with 37% premium - MSN",0.0
WIPRO.NS,Axis Capital downgrades Wipro stock rating on acquisition concerns - Investing.com,0.0
WIPRO.NS,Wipro Share Price Today - Live WIPRO Stock Price for NSE/BSE - Upstox,0.13636363636363635
WIPRO.NS,"Wipro completes ₹15,000 crore buyback at ₹250 per share - scanx.trade",0.0
WIPRO.NS,"TCS, Infosys, Wipro, HCL Tech, TechM Crashed: Why IT Stocks Are Falling? Jefferies Downgrades 6 Tech Shares - Goodreturns",0.0
WIPRO.NS,Three IT stocks get downgraded by JPMorgan; Check lowered price targets and top picks - CNBC TV18,0.5
WIPRO.NS,Wipro Enterprise Managed Services from Wipro Ltd - a long-running backbone for corporate IT - Ad-hoc-news.de,0.0
WIPRO.NS,"HCLTech, Wipro Ratings Slashed By JPMorgan, Says AI Boom Not Translating Into IT Growth Yet - NDTV Profit",0.0
WIPRO.NS,"Nifty IT index slips 2%; TCS, Infosys, HCL Tech, LTM, Wipro down up to 3% - Business Standard",-0.07777777777777779
WIPRO.NS,"TCS sparks IT rally! Nifty IT turns green despite Infosys, Wipro drag - Indiablooms",-0.15000000000000002
WIPRO.NS,"Wipro's ₹15,000 crore buyback opens with 37% premium - MSN",0.0
WIPRO.NS,Axis Capital downgrades Wipro stock rating on acquisition concerns - Investing.com,0.0
WIPRO.NS,Wipro Share Price Today - Live WIPRO Stock Price for NSE/BSE - Upstox,0.13636363636363635
WIPRO.NS,"Wipro completes ₹15,000 crore buyback at ₹250 per share - scanx.trade",0.0
WIPRO.NS,"TCS, Infosys, Wipro, HCL Tech, TechM Crashed: Why IT Stocks Are Falling? Jefferies Downgrades 6 Tech Shares - Goodreturns",0.0
WIPRO.NS,Three IT stocks get downgraded by JPMorgan; Check lowered price targets and top picks - CNBC TV18,0.5
WIPRO.NS,Wipro Enterprise Managed Services from Wipro Ltd - a long-running backbone for corporate IT - Ad-hoc-news.de,0.0
WIPRO.NS,"HCLTech, Wipro Ratings Slashed By JPMorgan, Says AI Boom Not Translating Into IT Growth Yet - NDTV Profit",0.0
WIPRO.NS,"Nifty IT index slips 2%; TCS, Infosys, HCL Tech, LTM, Wipro down up to 3% - Business Standard",-0.07777777777777779
WIPRO.NS,"TCS sparks IT rally! Nifty IT turns green despite Infosys, Wipro drag - Indiablooms",-0.15000000000000002
TCS.NS,TCS Share Price Today - Tata Consultancy Services on NSE/BSE - scanx.trade,0.0
TCS.NS,TCS Share Price Today - Live TCS Stock Price for NSE/BSE - Upstox,0.13636363636363635
TCS.NS,"Bonus & Dividend Stocks To Watch: TCS, Tata Consumer, PAE & More Go Ex-Date Today May 25; Check Full list - Goodreturns",0.425
TCS.NS,Tata Consultancy Services Stock Leads 3 Dividend Picks For Steady Income - simplywall.st,0.16666666666666666
TCS.NS,"Buy, Sell Or Hold: TCS, HDFC Bank, Garden Reach, Bank Of Baroda, Lumax Auto, TD Power — Ask Profit - NDTV Profit",0.0
TCS.NS,"Nifty IT index slips 2%; TCS, Infosys, HCL Tech, LTM, Wipro down up to 3% - Business Standard",-0.07777777777777779
TCS.NS,"TCS sparks IT rally! Nifty IT turns green despite Infosys, Wipro drag - Indiablooms",-0.15000000000000002
TCS.NS,"Top Gainers & Losers on June 23: Vedanta, Hindustan Zinc, Infosys, TCS, Bank of Baroda among top losers - Mint",0.15000000000000002
TCS.NS,"Infosys, TCS, HCLTech Among IT Stocks To Watch As Wall Street Tech Selloff Deepens - News18",0.0
TCS.NS,"Stock market today: Why Sensex plunged 893 points; Nifty dropped to 23,824 - Business Today",0.0
RELIANCE.NS,"Reliance Industries Limited. . Mrs Nita Ambani shares the vision and first glimpses of her upcoming global university that will integrate world-class education, research, innovation, entrepreneurship, and infrastructure to create a launchpad for future leaders fro - facebook.com",0.044642857142857144
RELIANCE.NS,Reliance Industries share price to be in focus on Thursday. Here's why - Mint,0.0
RELIANCE.NS,"Reliance Infra Share Price Today, Reliance Infra Stock Price Live NSE/BSE Updates - The Economic Times",0.16818181818181818
RELIANCE.NS,RELIANCE POWER LTD. Share Price Today - Live RPOWER Stock Price for NSE/BSE - Upstox,0.13636363636363635
RELIANCE.NS,"RIL, BEL, Lenskart, Delhivery among Motilal Oswal's top monthly picks - Business Standard",0.25
RELIANCE.NS,RIL promoter group confirms no encumbrance on shares in FY26 - scanx.trade,0.0
RELIANCE.NS,"Dividend, Bonus Issue, Stock Split Record Dates to Mark: Reliance, Infosys, Adani, Tata, Trent, Inox and More - Goodreturns",0.5
RELIANCE.NS,Reliance Industries Backed Multibagger Stock Hits Another Upper Circuit. Check Details - Business Today,0.0
RELIANCE.NS,Colony Bankcorp to acquire First Reliance for $163 million By Investing.com - Investing.com India,0.25
RELIANCE.NS,"FSRL Stock Alert: Halper Sadeh LLC is Investigating Whether First Reliance Bancshares, Inc. is Obtaining a Fair Price for its Shareholders - Business Wire",0.475
WIPRO.NS,"Wipro's ₹15,000 crore buyback opens with 37% premium - MSN",0.0
WIPRO.NS,Axis Capital downgrades Wipro stock rating on acquisition concerns - Investing.com,0.0
WIPRO.NS,Wipro Share Price Today - Live WIPRO Stock Price for NSE/BSE - Upstox,0.13636363636363635
WIPRO.NS,"Wipro completes ₹15,000 crore buyback at ₹250 per share - scanx.trade",0.0
WIPRO.NS,"TCS, Infosys, Wipro, HCL Tech, TechM Crashed: Why IT Stocks Are Falling? Jefferies Downgrades 6 Tech Shares - Goodreturns",0.0
WIPRO.NS,Three IT stocks get downgraded by JPMorgan; Check lowered price targets and top picks - CNBC TV18,0.5
WIPRO.NS,Wipro Enterprise Managed Services from Wipro Ltd - a long-running backbone for corporate IT - Ad-hoc-news.de,0.0
WIPRO.NS,"Nifty IT index slips 2%; TCS, Infosys, HCL Tech, LTM, Wipro down up to 3% - Business Standard",-0.07777777777777779
WIPRO.NS,"TCS sparks IT rally! Nifty IT turns green despite Infosys, Wipro drag - Indiablooms",-0.15000000000000002
WIPRO.NS,"HCLTech, Wipro Ratings Slashed By JPMorgan, Says AI Boom Not Translating Into IT Growth Yet - NDTV Profit",0.0
WIPRO.NS,Axis Capital downgrades Wipro stock rating on acquisition concerns - Investing.com,0.0
WIPRO.NS,Wipro Share Price Today - Live WIPRO Stock Price for NSE/BSE - Upstox,0.13636363636363635
WIPRO.NS,"Wipro completes ₹15,000 crore buyback at ₹250 per share - scanx.trade",0.0
WIPRO.NS,"TCS, Infosys, Wipro, HCL Tech, TechM Crashed: Why IT Stocks Are Falling? Jefferies Downgrades 6 Tech Shares - Goodreturns",0.0
WIPRO.NS,Three IT stocks get downgraded by JPMorgan; Check lowered price targets and top picks - CNBC TV18,0.5
WIPRO.NS,Wipro Enterprise Managed Services from Wipro Ltd - a long-running backbone for corporate IT - Ad-hoc-news.de,0.0
WIPRO.NS,"Nifty IT index slips 2%; TCS, Infosys, HCL Tech, LTM, Wipro down up to 3% - Business Standard",-0.07777777777777779
WIPRO.NS,"TCS sparks IT rally! Nifty IT turns green despite Infosys, Wipro drag - Indiablooms",-0.15000000000000002
WIPRO.NS,"HCLTech, Wipro Ratings Slashed By JPMorgan, Says AI Boom Not Translating Into IT Growth Yet - NDTV Profit",0.0
WIPRO.NS,"Wipro revises timeline for Alpha Net contract acquisition, targets September-end completion - Upstox",0.0
WIPRO.NS,Axis Capital downgrades Wipro stock rating on acquisition concerns - Investing.com,0.0
WIPRO.NS,Wipro Share Price Today - Live WIPRO Stock Price for NSE/BSE - Upstox,0.13636363636363635
WIPRO.NS,"Wipro completes ₹15,000 crore buyback at ₹250 per share - scanx.trade",0.0
WIPRO.NS,"TCS, Infosys, Wipro, HCL Tech, TechM Crashed: Why IT Stocks Are Falling? Jefferies Downgrades 6 Tech Shares - Goodreturns",0.0
WIPRO.NS,Three IT stocks get downgraded by JPMorgan; Check lowered price targets and top picks - CNBC TV18,0.5
WIPRO.NS,Wipro Enterprise Managed Services from Wipro Ltd - a long-running backbone for corporate IT - Ad-hoc-news.de,0.0
WIPRO.NS,"Nifty IT index slips 2%; TCS, Infosys, HCL Tech, LTM, Wipro down up to 3% - Business Standard",-0.07777777777777779
WIPRO.NS,"TCS sparks IT rally! Nifty IT turns green despite Infosys, Wipro drag - Indiablooms",-0.15000000000000002
WIPRO.NS,"HCLTech, Wipro Ratings Slashed By JPMorgan, Says AI Boom Not Translating Into IT Growth Yet - NDTV Profit",0.0
WIPRO.NS,"Cipla, Power Grid Lead Nifty Gainers; Infosys, Wipro Drag Index - HDFC Sky",-0.1
WIPRO.NS,Axis Capital downgrades Wipro stock rating on acquisition concerns - Investing.com,0.0
WIPRO.NS,Wipro Share Price Today - Live WIPRO Stock Price for NSE/BSE - Upstox,0.13636363636363635
WIPRO.NS,"Wipro completes ₹15,000 crore buyback at ₹250 per share - scanx.trade",0.0
WIPRO.NS,"TCS, Infosys, Wipro, HCL Tech, TechM Crashed: Why IT Stocks Are Falling? Jefferies Downgrades 6 Tech Shares - Goodreturns",0.0
WIPRO.NS,Three IT stocks get downgraded by JPMorgan; Check lowered price targets and top picks - CNBC TV18,0.5
WIPRO.NS,Wipro Enterprise Managed Services from Wipro Ltd - a long-running backbone for corporate IT - Ad-hoc-news.de,0.0
WIPRO.NS,"Nifty IT index slips 2%; TCS, Infosys, HCL Tech, LTM, Wipro down up to 3% - Business Standard",-0.07777777777777779
WIPRO.NS,"TCS sparks IT rally! Nifty IT turns green despite Infosys, Wipro drag - Indiablooms",-0.15000000000000002
WIPRO.NS,"HCLTech, Wipro Ratings Slashed By JPMorgan, Says AI Boom Not Translating Into IT Growth Yet - NDTV Profit",0.0
WIPRO.NS,"Cipla, Power Grid Lead Nifty Gainers; Infosys, Wipro Drag Index - HDFC Sky",-0.1
ITC.NS,ITC LTD Share Price Today - Live ITC Stock Price for NSE/BSE - Upstox,0.13636363636363635
ITC.NS,"Biggest Single-Day Market Crash! Rs 13 Lakh Cr Wiped Out as Sensex-Nifty Tank 3%; HDFC, ITC Hit 52-Week Lows - Goodreturns",0.0
ITC.NS,Is ITC stock nearing the end of a 21-month correction? Bajaj Broking sees a 14% rally in 6 months - Mint,0.0
ITC.NS,Bajaj Broking projects 14% ITC rally as correction nears end - MSN,0.0
ITC.NS,"ITC share price: Down 41% since Sept 2024, will this 21-month-long correction end soon? - Business Today",-0.15555555555555559
ITC.NS,ITC CMD total remuneration slips 6.8% to Rs 23.91 crore in FY26 - ETHRWorld.com,0.0
ITC.NS,ITC can rally up to 13%; key momentum indicator flags 'Buy': Bajaj Broking - Business Standard,0.0
ITC.NS,ITC Forecast — Price Target — Prediction for 2027 - TradingView,0.0
ITC.NS,ITC CMD Sanjiv Puri's FY26 pay falls to Rs 23.9 crore - Moneycontrol.com,0.0
ITC.NS,"Buy, Sell Or Hold: L&T, Tata Motors PV, M&M, Ola Electric, ITC, Ramco Cement, And More — Ask Profit - NDTV Profit",0.5
ZEEL.NS,ZEE ENTERTAINMENT ENT LTD Share Price Today - Live ZEEL Stock Price for NSE/BSE - Upstox,0.13636363636363635
ZEEL.NS,Zee Entertainment hits record 20% network share as FIFA World Cup lifts sports viewership - Fortune India,0.0
ZEEL.NS,"Infosys, Hindalco, Redington: How FPI-heavy stocks fared in June as outflows hit Rs 53K crore - Business Today",0.0
ZEEL.NS,Zee Entertainment Sees Exceptional Volume Surge Amid Positive Momentum - MarketsMojo,0.44696969696969696
ZEEL.NS,Zee Entertainment to consider fund-raising plan on July 1 - Daijiworld,0.0
ZEEL.NS,"Zee Entertainment Plans Fundraise, Closes Trading Window Ahead of Board Meet - TipRanks",0.0
ZEEL.NS,"Yes Bank, GMR Airports among top stock picks — check price targets, rationale & more - MSN",0.5
